invoicedate,usd_to_nis
2018-01-01 00:00:00+00,3.47575
2018-01-02 00:00:00+00,3.45067
2018-01-03 00:00:00+00,3.44976
2018-01-04 00:00:00+00,3.44679
2018-01-05 00:00:00+00,3.433863
2018-01-06 00:00:00+00,3.433863
2018-01-07 00:00:00+00,3.433218
2018-01-09 00:00:00+00,3.4427
2018-01-10 00:00:00+00,3.427135
2018-01-11 00:00:00+00,3.42351
2018-01-12 00:00:00+00,3.3942
2018-01-13 00:00:00+00,3.3942
2018-01-15 00:00:00+00,3.400605
2018-01-16 00:00:00+00,3.43168
2018-01-17 00:00:00+00,3.439595
2018-01-18 00:00:00+00,3.416745
2018-01-19 00:00:00+00,3.421158
2018-01-20 00:00:00+00,3.421158
2018-01-21 00:00:00+00,3.42134
2018-01-22 00:00:00+00,3.414285
2018-01-23 00:00:00+00,3.40954
2018-01-24 00:00:00+00,3.4114
2018-01-25 00:00:00+00,3.3928
2018-01-28 00:00:00+00,3.392305
2018-01-30 00:00:00+00,3.418655
2018-02-01 00:00:00+00,3.428378
2018-02-02 00:00:00+00,3.4503
2018-02-03 00:00:00+00,3.4503
2018-02-04 00:00:00+00,3.449165
2018-02-05 00:00:00+00,3.459015
2018-02-06 00:00:00+00,3.481055
2018-02-07 00:00:00+00,3.49501
2018-02-08 00:00:00+00,3.517735
2018-02-09 00:00:00+00,3.51845
2018-02-10 00:00:00+00,3.51845
2018-02-11 00:00:00+00,3.528
2018-02-12 00:00:00+00,3.522455
2018-02-14 00:00:00+00,3.522595
2018-02-17 00:00:00+00,3.54365
2018-02-18 00:00:00+00,3.545925
2018-02-19 00:00:00+00,3.507365
2018-02-20 00:00:00+00,3.500055
2018-02-21 00:00:00+00,3.498905
2018-02-22 00:00:00+00,3.491055
2018-02-24 00:00:00+00,3.48678
2018-02-25 00:00:00+00,3.488141
2018-02-26 00:00:00+00,3.484382
2018-02-28 00:00:00+00,3.476755
2018-03-01 00:00:00+00,3.460315
2018-03-02 00:00:00+00,3.442442
2018-03-04 00:00:00+00,3.445605
2018-03-05 00:00:00+00,3.466095
2018-03-06 00:00:00+00,3.45957
2018-03-07 00:00:00+00,3.454625
2018-03-08 00:00:00+00,3.46065
2018-03-09 00:00:00+00,3.4436
2018-03-10 00:00:00+00,3.4436
2018-03-11 00:00:00+00,3.45185
2018-03-12 00:00:00+00,3.44257
2018-03-13 00:00:00+00,3.431675
2018-03-14 00:00:00+00,3.43549
2018-03-15 00:00:00+00,3.45295
2018-03-16 00:00:00+00,3.457415
2018-03-17 00:00:00+00,3.457415
2018-03-18 00:00:00+00,3.457975
2018-03-19 00:00:00+00,3.47314
2018-03-20 00:00:00+00,3.47638
2018-03-21 00:00:00+00,3.470713
2018-03-22 00:00:00+00,3.484553
2018-03-23 00:00:00+00,3.4862
2018-03-24 00:00:00+00,3.4862
2018-03-26 00:00:00+00,3.49724
2018-03-27 00:00:00+00,3.4873
2018-03-28 00:00:00+00,3.508
2018-03-29 00:00:00+00,3.50725
2018-03-31 00:00:00+00,3.4904
2018-04-01 00:00:00+00,3.503255
2018-04-03 00:00:00+00,3.532955
2018-04-04 00:00:00+00,3.537585
2018-04-05 00:00:00+00,3.529055
2018-04-06 00:00:00+00,3.53138
2018-04-07 00:00:00+00,3.53138
2018-04-08 00:00:00+00,3.526615
2018-04-09 00:00:00+00,3.522905
2018-04-10 00:00:00+00,3.502465
2018-04-11 00:00:00+00,3.50835
2018-04-12 00:00:00+00,3.51455
2018-04-13 00:00:00+00,3.5175
2018-04-14 00:00:00+00,3.5175
2018-04-15 00:00:00+00,3.522
2018-04-17 00:00:00+00,3.5152
2018-04-18 00:00:00+00,3.511599
2018-04-19 00:00:00+00,3.523
2018-04-20 00:00:00+00,3.529655
2018-04-21 00:00:00+00,3.529655
2018-04-22 00:00:00+00,3.53055
2018-04-23 00:00:00+00,3.54495
2018-04-24 00:00:00+00,3.56509
2018-04-25 00:00:00+00,3.59434
2018-04-26 00:00:00+00,3.58915
2018-04-27 00:00:00+00,3.588
2018-04-28 00:00:00+00,3.588
2018-04-29 00:00:00+00,3.58832
2018-04-30 00:00:00+00,3.59804
2018-05-01 00:00:00+00,3.61014
2018-05-02 00:00:00+00,3.62681
2018-05-03 00:00:00+00,3.61932
2018-05-04 00:00:00+00,3.61367
2018-05-05 00:00:00+00,3.61367
2018-05-06 00:00:00+00,3.622195
2018-05-07 00:00:00+00,3.60634
2018-05-08 00:00:00+00,3.624445
2018-05-09 00:00:00+00,3.58548
2018-05-10 00:00:00+00,3.566305
2018-05-11 00:00:00+00,3.576895
2018-05-12 00:00:00+00,3.576895
2018-05-13 00:00:00+00,3.5752
2018-05-14 00:00:00+00,3.593975
2018-05-15 00:00:00+00,3.598795
2018-05-16 00:00:00+00,3.58421
2018-05-17 00:00:00+00,3.589575
2018-05-19 00:00:00+00,3.59216
2018-05-20 00:00:00+00,3.5942
2018-05-21 00:00:00+00,3.57357
2018-05-22 00:00:00+00,3.565623
2018-05-23 00:00:00+00,3.572595
2018-05-24 00:00:00+00,3.56607
2018-05-25 00:00:00+00,3.561165
2018-05-26 00:00:00+00,3.561165
2018-05-27 00:00:00+00,3.559165
2018-05-28 00:00:00+00,3.57312
2018-05-30 00:00:00+00,3.569295
2018-05-31 00:00:00+00,3.563755
2018-06-01 00:00:00+00,3.558
2018-06-02 00:00:00+00,3.558
2018-06-03 00:00:00+00,3.561277
2018-06-04 00:00:00+00,3.565075
2018-06-05 00:00:00+00,3.56561
2018-06-06 00:00:00+00,3.57223
2018-06-07 00:00:00+00,3.572693
2018-06-08 00:00:00+00,3.56809
2018-06-09 00:00:00+00,3.56809
2018-06-10 00:00:00+00,3.574135
2018-06-11 00:00:00+00,3.575828
2018-06-13 00:00:00+00,3.589452
2018-06-14 00:00:00+00,3.616415
2018-06-15 00:00:00+00,3.626305
2018-06-16 00:00:00+00,3.626305
2018-06-17 00:00:00+00,3.625495
2018-06-18 00:00:00+00,3.64113
2018-06-19 00:00:00+00,3.63165
2018-06-21 00:00:00+00,3.620175
2018-06-22 00:00:00+00,3.605665
2018-06-23 00:00:00+00,3.605665
2018-06-24 00:00:00+00,3.611575
2018-06-25 00:00:00+00,3.619745
2018-06-26 00:00:00+00,3.63927
2018-06-28 00:00:00+00,3.65801
2018-06-29 00:00:00+00,3.656165
2018-06-30 00:00:00+00,3.656165
2018-07-01 00:00:00+00,3.660225
2018-07-02 00:00:00+00,3.6673
2018-07-03 00:00:00+00,3.65485
2018-07-05 00:00:00+00,3.63815
2018-07-06 00:00:00+00,3.6246
2018-07-07 00:00:00+00,3.6246
2018-07-08 00:00:00+00,3.62617
2018-07-09 00:00:00+00,3.62955
2018-07-10 00:00:00+00,3.63851
2018-07-11 00:00:00+00,3.6489
2018-07-12 00:00:00+00,3.63828
2018-07-13 00:00:00+00,3.638165
2018-07-14 00:00:00+00,3.638165
2018-07-15 00:00:00+00,3.64425
2018-07-16 00:00:00+00,3.625145
2018-07-17 00:00:00+00,3.633215
2018-07-18 00:00:00+00,3.636685
2018-07-21 00:00:00+00,3.628385
2018-07-22 00:00:00+00,3.633943
2018-07-23 00:00:00+00,3.644575
2018-07-24 00:00:00+00,3.65544
2018-07-25 00:00:00+00,3.632598
2018-07-26 00:00:00+00,3.650975
2018-07-27 00:00:00+00,3.6518
2018-07-29 00:00:00+00,3.657395
2018-07-31 00:00:00+00,3.66795
2018-08-01 00:00:00+00,3.67185
2018-08-02 00:00:00+00,3.68835
2018-08-03 00:00:00+00,3.693455
2018-08-04 00:00:00+00,3.693455
2018-08-05 00:00:00+00,3.690625
2018-08-06 00:00:00+00,3.706329
2018-08-07 00:00:00+00,3.67981
2018-08-08 00:00:00+00,3.678865
2018-08-09 00:00:00+00,3.69175
2018-08-10 00:00:00+00,3.7157
2018-08-11 00:00:00+00,3.7157
2018-08-12 00:00:00+00,3.71857
2018-08-13 00:00:00+00,3.695645
2018-08-14 00:00:00+00,3.68197
2018-08-16 00:00:00+00,3.67127
2018-08-17 00:00:00+00,3.660335
2018-08-18 00:00:00+00,3.660335
2018-08-19 00:00:00+00,3.66424
2018-08-20 00:00:00+00,3.654165
2018-08-21 00:00:00+00,3.64395
2018-08-23 00:00:00+00,3.64736
2018-08-24 00:00:00+00,3.627005
2018-08-25 00:00:00+00,3.627005
2018-08-26 00:00:00+00,3.62825
2018-08-27 00:00:00+00,3.63315
2018-08-29 00:00:00+00,3.608905
2018-08-30 00:00:00+00,3.609913
2018-08-31 00:00:00+00,3.607625
2018-09-01 00:00:00+00,3.607625
2018-09-03 00:00:00+00,3.61342
2018-09-04 00:00:00+00,3.616775
2018-09-05 00:00:00+00,3.6005
2018-09-06 00:00:00+00,3.581755
2018-09-07 00:00:00+00,3.5914
2018-09-08 00:00:00+00,3.5914
2018-09-09 00:00:00+00,3.588835
2018-09-10 00:00:00+00,3.5864
2018-09-11 00:00:00+00,3.58266
2018-09-12 00:00:00+00,3.577415
2018-09-13 00:00:00+00,3.566845
2018-09-16 00:00:00+00,3.5806
2018-09-17 00:00:00+00,3.58135
2018-09-18 00:00:00+00,3.590305
2018-09-19 00:00:00+00,3.58501
2018-09-20 00:00:00+00,3.571765
2018-09-22 00:00:00+00,3.57036
2018-09-24 00:00:00+00,3.57889
2018-09-25 00:00:00+00,3.585545
2018-09-26 00:00:00+00,3.5829
2018-09-27 00:00:00+00,3.60587
2018-09-28 00:00:00+00,3.640178
2018-09-29 00:00:00+00,3.640178
2018-09-30 00:00:00+00,3.63395
2018-10-01 00:00:00+00,3.63675
2018-10-02 00:00:00+00,3.64987
2018-10-03 00:00:00+00,3.642625
2018-10-04 00:00:00+00,3.63477
2018-10-05 00:00:00+00,3.62937
2018-10-06 00:00:00+00,3.62937
2018-10-07 00:00:00+00,3.62545
2018-10-08 00:00:00+00,3.6413
2018-10-09 00:00:00+00,3.63778
2018-10-10 00:00:00+00,3.63
2018-10-11 00:00:00+00,3.62992
2018-10-12 00:00:00+00,3.6242
2018-10-13 00:00:00+00,3.6242
2018-10-14 00:00:00+00,3.633165
2018-10-16 00:00:00+00,3.641385
2018-10-17 00:00:00+00,3.6457
2018-10-18 00:00:00+00,3.65895
2018-10-20 00:00:00+00,3.6581
2018-10-21 00:00:00+00,3.6581
2018-10-22 00:00:00+00,3.66223
2018-10-23 00:00:00+00,3.67205
2018-10-24 00:00:00+00,3.6808
2018-10-25 00:00:00+00,3.6935
2018-10-26 00:00:00+00,3.704145
2018-10-27 00:00:00+00,3.704145
2018-10-29 00:00:00+00,3.70555
2018-10-30 00:00:00+00,3.71301
2018-10-31 00:00:00+00,3.72284
2018-11-04 00:00:00+00,3.69545
2018-11-05 00:00:00+00,3.69077
2018-11-06 00:00:00+00,3.6877
2018-11-07 00:00:00+00,3.6667
2018-11-08 00:00:00+00,3.66654
2018-11-09 00:00:00+00,3.67285
2018-11-10 00:00:00+00,3.67285
2018-11-11 00:00:00+00,3.674356
2018-11-12 00:00:00+00,3.6934
2018-11-15 00:00:00+00,3.71235
2018-11-16 00:00:00+00,3.7045
2018-11-17 00:00:00+00,3.7045
2018-11-18 00:00:00+00,3.705066
2018-11-21 00:00:00+00,3.7293
2018-11-22 00:00:00+00,3.73865
2018-11-24 00:00:00+00,3.73425
2018-11-25 00:00:00+00,3.735049
2018-11-27 00:00:00+00,3.7352
2018-11-28 00:00:00+00,3.73275
2018-11-29 00:00:00+00,3.71095
2018-11-30 00:00:00+00,3.721204
2018-12-01 00:00:00+00,3.721204
2018-12-02 00:00:00+00,3.729118
2018-12-04 00:00:00+00,3.7338
2018-12-06 00:00:00+00,3.73881
2018-12-08 00:00:00+00,3.73305
2018-12-09 00:00:00+00,3.732528
2018-12-10 00:00:00+00,3.74326
2018-12-11 00:00:00+00,3.75105
2018-12-12 00:00:00+00,3.74857
2018-12-13 00:00:00+00,3.76546
2018-12-14 00:00:00+00,3.773
2018-12-15 00:00:00+00,3.773
2018-12-16 00:00:00+00,3.772841
2018-12-17 00:00:00+00,3.76742
2018-12-18 00:00:00+00,3.7598
2018-12-21 00:00:00+00,3.7658
2018-12-23 00:00:00+00,3.764194
2018-12-25 00:00:00+00,3.77115
2018-12-26 00:00:00+00,3.77785
2018-12-27 00:00:00+00,3.77125
2018-12-28 00:00:00+00,3.76365
2018-12-29 00:00:00+00,3.76365
2018-12-30 00:00:00+00,3.764423
2019-01-03 00:00:00+00,3.7275
2019-01-04 00:00:00+00,3.712305
2019-01-05 00:00:00+00,3.712305
2019-01-06 00:00:00+00,3.712022
2019-01-07 00:00:00+00,3.70765
2019-01-08 00:00:00+00,3.6982
2019-01-09 00:00:00+00,3.6764
2019-01-10 00:00:00+00,3.6688
2019-01-11 00:00:00+00,3.67335
2019-01-12 00:00:00+00,3.67335
2019-01-13 00:00:00+00,3.673054
2019-01-14 00:00:00+00,3.66305
2019-01-15 00:00:00+00,3.66696
2019-01-18 00:00:00+00,3.68854
2019-01-19 00:00:00+00,3.68854
2019-01-20 00:00:00+00,3.68854
2019-01-21 00:00:00+00,3.6955
2019-01-22 00:00:00+00,3.679969
2019-01-23 00:00:00+00,3.67375
2019-01-24 00:00:00+00,3.67385
2019-01-25 00:00:00+00,3.66835
2019-01-26 00:00:00+00,3.66835
2019-01-27 00:00:00+00,3.668245
2019-01-28 00:00:00+00,3.67686
2019-01-29 00:00:00+00,3.67845
2019-01-30 00:00:00+00,3.66525
2019-01-31 00:00:00+00,3.63142
2019-02-01 00:00:00+00,3.63754
2019-02-02 00:00:00+00,3.63754
2019-02-03 00:00:00+00,3.63762
2019-02-04 00:00:00+00,3.609511
2019-02-05 00:00:00+00,3.60715
2019-02-06 00:00:00+00,3.6202
2019-02-07 00:00:00+00,3.63135
2019-02-08 00:00:00+00,3.642113
2019-02-09 00:00:00+00,3.642113
2019-02-10 00:00:00+00,3.644044
2019-02-11 00:00:00+00,3.64624
2019-02-12 00:00:00+00,3.63726
2019-02-13 00:00:00+00,3.64765
2019-02-16 00:00:00+00,3.62023
2019-02-17 00:00:00+00,3.617933
2019-02-18 00:00:00+00,3.6192
2019-02-19 00:00:00+00,3.61883
2019-02-21 00:00:00+00,3.61898
2019-02-22 00:00:00+00,3.611095
2019-02-23 00:00:00+00,3.611095
2019-02-24 00:00:00+00,3.611095
2019-02-25 00:00:00+00,3.60645
2019-02-26 00:00:00+00,3.62098
2019-02-27 00:00:00+00,3.617073
2019-02-28 00:00:00+00,3.62315
2019-03-01 00:00:00+00,3.6305
2019-03-02 00:00:00+00,3.6305
2019-03-03 00:00:00+00,3.631318
2019-03-04 00:00:00+00,3.6252
2019-03-05 00:00:00+00,3.618
2019-03-06 00:00:00+00,3.6085
2019-03-07 00:00:00+00,3.6231
2019-03-08 00:00:00+00,3.6254
2019-03-09 00:00:00+00,3.6254
2019-03-10 00:00:00+00,3.62884
2019-03-11 00:00:00+00,3.6229
2019-03-12 00:00:00+00,3.61473
2019-03-13 00:00:00+00,3.6003
2019-03-14 00:00:00+00,3.6068
2019-03-15 00:00:00+00,3.5958
2019-03-16 00:00:00+00,3.5958
2019-03-18 00:00:00+00,3.60424
2019-03-19 00:00:00+00,3.6036
2019-03-20 00:00:00+00,3.6108
2019-03-21 00:00:00+00,3.60155
2019-03-23 00:00:00+00,3.62135
2019-03-25 00:00:00+00,3.6281
2019-03-26 00:00:00+00,3.621
2019-03-27 00:00:00+00,3.63445
2019-03-28 00:00:00+00,3.626476
2019-03-29 00:00:00+00,3.6294
2019-03-30 00:00:00+00,3.6294
2019-03-31 00:00:00+00,3.628909
2019-04-01 00:00:00+00,3.62065
2019-04-02 00:00:00+00,3.6242
2019-04-03 00:00:00+00,3.6032
2019-04-04 00:00:00+00,3.58935
2019-04-05 00:00:00+00,3.5777
2019-04-06 00:00:00+00,3.5777
2019-04-07 00:00:00+00,3.577337
2019-04-08 00:00:00+00,3.58808
2019-04-09 00:00:00+00,3.5807
2019-04-10 00:00:00+00,3.57935
2019-04-11 00:00:00+00,3.57925
2019-04-12 00:00:00+00,3.5643
2019-04-13 00:00:00+00,3.5643
2019-04-14 00:00:00+00,3.564502
2019-04-15 00:00:00+00,3.5634
2019-04-16 00:00:00+00,3.5667
2019-04-17 00:00:00+00,3.57435
2019-04-18 00:00:00+00,3.5942
2019-04-19 00:00:00+00,3.59455
2019-04-20 00:00:00+00,3.59455
2019-04-21 00:00:00+00,3.594748
2019-04-22 00:00:00+00,3.59365
2019-04-23 00:00:00+00,3.607244
2019-04-24 00:00:00+00,3.6183
2019-04-26 00:00:00+00,3.621115
2019-04-27 00:00:00+00,3.621115
2019-04-28 00:00:00+00,3.62096
2019-04-29 00:00:00+00,3.6153
2019-04-30 00:00:00+00,3.6007
2019-05-02 00:00:00+00,3.59695
2019-05-03 00:00:00+00,3.58308
2019-05-04 00:00:00+00,3.58308
2019-05-05 00:00:00+00,3.582974
2019-05-07 00:00:00+00,3.592
2019-05-08 00:00:00+00,3.5739
2019-05-09 00:00:00+00,3.57084
2019-05-10 00:00:00+00,3.55899
2019-05-11 00:00:00+00,3.55899
2019-05-12 00:00:00+00,3.559747
2019-05-13 00:00:00+00,3.5742
2019-05-14 00:00:00+00,3.577166
2019-05-16 00:00:00+00,3.5712
2019-05-17 00:00:00+00,3.5712
2019-05-18 00:00:00+00,3.5712
2019-05-19 00:00:00+00,3.571528
2019-05-20 00:00:00+00,3.58171
2019-05-21 00:00:00+00,3.61525
2019-05-22 00:00:00+00,3.61425
2019-05-23 00:00:00+00,3.61329
2019-05-24 00:00:00+00,3.60526
2019-05-26 00:00:00+00,3.605523
2019-05-27 00:00:00+00,3.6036
2019-05-28 00:00:00+00,3.613037
2019-05-29 00:00:00+00,3.6165
2019-05-30 00:00:00+00,3.6327
2019-06-01 00:00:00+00,3.62803
2019-06-02 00:00:00+00,3.628113
2019-06-03 00:00:00+00,3.6243
2019-06-04 00:00:00+00,3.619425
2019-06-05 00:00:00+00,3.6039
2019-06-06 00:00:00+00,3.5962
2019-06-08 00:00:00+00,3.5756
2019-06-09 00:00:00+00,3.575278
2019-06-10 00:00:00+00,3.5791
2019-06-11 00:00:00+00,3.5812
2019-06-12 00:00:00+00,3.5826
2019-06-13 00:00:00+00,3.59965
2019-06-14 00:00:00+00,3.60065
2019-06-15 00:00:00+00,3.60065
2019-06-16 00:00:00+00,3.600618
2019-06-17 00:00:00+00,3.60965
2019-06-18 00:00:00+00,3.6106
2019-06-19 00:00:00+00,3.5962
2019-06-20 00:00:00+00,3.5829
2019-06-21 00:00:00+00,3.621725
2019-06-22 00:00:00+00,3.621725
2019-06-23 00:00:00+00,3.621744
2019-06-24 00:00:00+00,3.6011
2019-06-25 00:00:00+00,3.5928
2019-06-26 00:00:00+00,3.5887
2019-06-27 00:00:00+00,3.5727
2019-06-28 00:00:00+00,3.5667
2019-06-29 00:00:00+00,3.5667
2019-06-30 00:00:00+00,3.566616
2019-07-01 00:00:00+00,3.5739
2019-07-02 00:00:00+00,3.5734
2019-07-03 00:00:00+00,3.569
2019-07-04 00:00:00+00,3.5639
2019-07-05 00:00:00+00,3.57425
2019-07-06 00:00:00+00,3.57425
2019-07-07 00:00:00+00,3.5746
2019-07-08 00:00:00+00,3.5716
2019-07-09 00:00:00+00,3.56665
2019-07-10 00:00:00+00,3.55301
2019-07-11 00:00:00+00,3.5508
2019-07-12 00:00:00+00,3.5554
2019-07-13 00:00:00+00,3.5554
2019-07-14 00:00:00+00,3.555302
2019-07-15 00:00:00+00,3.53855
2019-07-16 00:00:00+00,3.5477
2019-07-18 00:00:00+00,3.5419
2019-07-19 00:00:00+00,3.53955
2019-07-21 00:00:00+00,3.539489
2019-07-22 00:00:00+00,3.5277
2019-07-23 00:00:00+00,3.53925
2019-07-25 00:00:00+00,3.5242
2019-07-26 00:00:00+00,3.52095
2019-07-27 00:00:00+00,3.52095
2019-07-28 00:00:00+00,3.52095
2019-07-29 00:00:00+00,3.5244
2019-07-30 00:00:00+00,3.4945
2019-07-31 00:00:00+00,3.4971
2019-08-01 00:00:00+00,3.5098
2019-08-02 00:00:00+00,3.4908
2019-08-03 00:00:00+00,3.4908
2019-08-04 00:00:00+00,3.490692
2019-08-05 00:00:00+00,3.488
2019-08-06 00:00:00+00,3.4843
2019-08-07 00:00:00+00,3.4796
2019-08-08 00:00:00+00,3.4766
2019-08-09 00:00:00+00,3.47798
2019-08-10 00:00:00+00,3.47798
2019-08-11 00:00:00+00,3.477959
2019-08-12 00:00:00+00,3.4751
2019-08-13 00:00:00+00,3.4821
2019-08-14 00:00:00+00,3.52055
2019-08-15 00:00:00+00,3.5321
2019-08-16 00:00:00+00,3.546213
2019-08-17 00:00:00+00,3.546213
2019-08-18 00:00:00+00,3.54632
2019-08-19 00:00:00+00,3.52425
2019-08-20 00:00:00+00,3.528
2019-08-21 00:00:00+00,3.52474
2019-08-22 00:00:00+00,3.5186
2019-08-23 00:00:00+00,3.51175
2019-08-24 00:00:00+00,3.51175
2019-08-25 00:00:00+00,3.511831
2019-08-26 00:00:00+00,3.521
2019-08-27 00:00:00+00,3.5198
